"Geographic Area Name (NAME)","2017 NAICS code (NAICS2017)","Meaning of NAICS code (NAICS2017_LABEL)","Year (YEAR)","Number of firms (FIRM)","Number of establishments (ESTAB)","Sales, value of shipments, or revenue ($1,000) (RCPTOT)","Annual payroll ($1,000) (PAYANN)","First-quarter payroll ($1,000) (PAYQTR1)","Number of employees (EMP)","Production and/or development and exploration workers for pay period including March 12 (EMPQ1PW)","Production workers for pay period including June 12 (EMPQ2PW)","Production workers for pay period including Sept 12 (EMPQ3PW)","Production workers for pay period including Dec 12 (EMPQ4PW)","Construction, production and/or development and exploration workers annual hours (1,000) (HOURS)","Production and/or development and exploration workers annual wages ($1,000) (PAYANPW)","Total fringe benefits ($1,000) (BENEFIT)","Employer's cost for health insurance ($1,000) (BENHEA)","Employer's cost for defined benefit pension plans ($1,000) (BENPEB)","Employer's cost for defined contribution plans ($1,000) (BENPEC)","Employer's cost for other fringe benefits ($1,000) (BENOTH)","Total cost of supplies and/or materials ($1,000)  (CSTMTOT)","Cost of materials, components, packaging and/or supplies used, minerals received, or purchased machinery installed ($1,000) (CSTMPRT)","Cost of resales ($1,000) (CSTRSL)","Cost of purchased fuels consumed ($1,000)  (CSTFU)","Cost of purchased electricity ($1,000)  (CSTELEC)","Cost of contract work ($1,000)  (CSTCNT)","Quantity of electricity purchased for heat and power (1,000 kWh) (ELECPCH)","Quantity of generated electricity (1,000 kWh) (ELECGEN)","Quantity of electricity sold or transferred (1,000 kWh) (ELECSLD)","Value added ($1,000) (VALADD)","Total inventories, beginning of year ($1,000) (INVTOTB)","Finished goods or minerals products, crude petroleum, and natural gas liquids inventories, beginning of year ($1,000) (INVFINB)","Work-in-process inventories, beginning of year ($1,000) (INVWIPB)","Materials and/or supplies, parts, fuels, etc. inventories, beginning of year ($1,000)  (INVMATB)","Total inventories, end of year ($1,000) (INVTOTE)","Finished goods or minerals products, crude petroleum, and natural gas liquids inventories, end of year ($1,000) (INVFINE)","Work-in-process inventories, end of year ($1,000) (INVWIPE)","Materials and/or supplies, parts, fuels, etc. inventories, end of year ($1,000) (INVMATE)","Gross value of depreciable assets (acquisition costs), beginning of year ($1,000)  (ASTBGN)","Total capital expenditures for buildings, structures, machinery, and equipment (new and used) ($1,000) (CEXTOT)","Capital expenditures for buildings and other structures ($1,000) (CEXBLD)","Capital expenditures for machinery and equipment ($1,000) (CEXMCH)","Capital expenditures for automobiles, trucks, etc. for highway use ($1,000) (CEXMCHA)","Capital expenditures for computers and peripheral data processing equipment ($1,000) (CEXMCHC)","Capital expenditures for all other machinery and equipment ($1,000) (CEXMCHO)","Total retirements ($1,000) (ASRET)","Gross value of depreciable assets (acquisition costs, end of year) ($1,000) (ASTEND)","Total depreciation during year ($1,000) (DPRTOT)","Total rental payments or lease payments ($1,000) (RPTOT)","Rental payments or lease payments for buildings and other structures ($1,000) (RPBLD)","Rental payments or lease payments for machinery and equipment ($1,000) (RPMCH)","Total other operating expenses ($1,000) (PCHTT)","Temporary staff and leased employee expenses ($1,000) (PCHTEMP)","Expensed computer hardware and other equipment ($1,000) (PCHCMPQ)","Expensed purchases of software ($1,000) (PCHEXSO)","Data processing and other purchased computer services ($1,000) (PCHDAPR)","Communication services ($1,000) (PCHCSVC)","Repair and maintenance services of buildings and/or machinery ($1,000) (PCHRPR)","Refuse removal (including hazardous waste) services ($1,000) (PCHRFUS)","Advertising and promotional services ($1,000) (PCHADVT)","Purchased professional and technical services ($1,000) (PCHPRTE)","Taxes and license fees ($1,000) (PCHTAX)","All other operating expenses ($1,000) (PCHOEXP)","Range indicating percent of total sales, value of shipments, or revenue imputed (RCPTOT_IMP)","Range indicating percent of total annual payroll imputed (PAYANN_IMP)","Range indicating percent of total employees imputed (EMP_IMP)"
"Spokane County, Washington","48111","Scheduled air transportation","2017","D","D","D","D","D","250 to 499 employees","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","D","D","D"
"Spokane County, Washington","481111","Scheduled passenger air transportation","2017","D","D","D","D","D","250 to 499 employees","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","D","D","D"
"Spokane County, Washington","484","Truck transportation","2017","163","169","536,545","127,541","30,458","2,777","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","50% to less than 60%","30% to less than 40%","30% to less than 40%"
"Spokane County, Washington","4841","General freight trucking","2017","116","119","472,380","109,587","26,325","2,328","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","60% to less than 70%","30% to less than 40%","30% to less than 40%"
"Spokane County, Washington","48411","General freight trucking, local","2017","26","26","24,922","11,365","2,544","273","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","10% to less than 20%","Less than 10%","Less than 10%"
"Spokane County, Washington","484110","General freight trucking, local","2017","26","26","24,922","11,365","2,544","273","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","10% to less than 20%","Less than 10%","Less than 10%"
"Spokane County, Washington","48412","General freight trucking, long-distance","2017","90","93","447,458","98,222","23,781","2,055","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","60% to less than 70%","40% to less than 50%","40% to less than 50%"
"Spokane County, Washington","484121","General freight trucking, long-distance, truckload","2017","D","D","D","D","D","1,000 to 2,499 employees","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","D","D","D"
"Spokane County, Washington","484122","General freight trucking, long-distance, less than truckload","2017","D","D","D","D","D","250 to 499 employees","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","D","D","D"
"Spokane County, Washington","4842","Specialized freight trucking","2017","49","50","64,165","17,954","4,133","449","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","10% to less than 20%","10% to less than 20%","10% to less than 20%"
"Spokane County, Washington","48421","Used household and office goods moving","2017","D","D","D","D","D","100 to 249 employees","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","D","D","D"
"Spokane County, Washington","484210","Used household and office goods moving","2017","D","D","D","D","D","100 to 249 employees","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","D","D","D"
"Spokane County, Washington","4842101","Local used household and office goods moving, without storage","2017","4","4","2,451","1,093","130","29","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","Less than 10%","Less than 10%","Less than 10%"
"Spokane County, Washington","4842102","Long-distance used household and office goods moving","2017","D","D","D","D","D","20 to 99 employees","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","D","D","D"
"Spokane County, Washington","4842103","Local used household and office goods moving, with storage","2017","6","6","5,333","2,826","943","134","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","Less than 10%","Less than 10%","20% to less than 30%"
"Spokane County, Washington","48422","Specialized freight (except used goods) trucking, local","2017","19","19","29,552","7,170","1,430","149","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","10% to less than 20%","10% to less than 20%","10% to less than 20%"
"Spokane County, Washington","484220","Specialized freight (except used goods) trucking, local","2017","19","19","29,552","7,170","1,430","149","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","10% to less than 20%","10% to less than 20%","10% to less than 20%"
"Spokane County, Washington","4842202","Local agricultural products trucking without storage","2017","D","D","D","D","D","20 to 99 employees","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","D","D","D"
"Spokane County, Washington","4842203","Dump trucking","2017","7","7","9,883","2,725","376","48","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","Less than 10%","Less than 10%","30% to less than 40%"
"Spokane County, Washington","4842204","Local specialized trucking without storage","2017","D","D","D","D","D","20 to 99 employees","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","D","D","D"
"Spokane County, Washington","48423","Specialized freight (except used goods) trucking, long-distance","2017","D","D","D","D","D","20 to 99 employees","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","D","D","D"
"Spokane County, Washington","484230","Specialized freight (except used goods) trucking, long-distance","2017","D","D","D","D","D","20 to 99 employees","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","D","D","D"
"Spokane County, Washington","4842301","Hazardous materials trucking (except waste), long-distance","2017","D","D","2,653","D","D","0 to 19 employees","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","Less than 10%","D","D"
"Spokane County, Washington","4842303","Other specialized trucking, long-distance","2017","D","D","D","D","D","20 to 99 employees","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","D","D","D"
"Spokane County, Washington","485","Transit and ground passenger transportation","2017","D","D","D","D","D","250 to 499 employees","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","D","D","D"
"Spokane County, Washington","4853","Taxi and limousine service","2017","D","D","D","D","D","20 to 99 employees","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","D","D","D"
"Spokane County, Washington","4859","Other transit and ground passenger transportation","2017","D","D","D","D","D","20 to 99 employees","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","D","D","D"
"Spokane County, Washington","48599","Other transit and ground passenger transportation","2017","D","D","D","D","D","20 to 99 employees","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","D","D","D"
"Spokane County, Washington","485991","Special needs transportation","2017","3","4","8,793","1,512","354","49","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","Less than 10%","Less than 10%","Less than 10%"
"Spokane County, Washington","486","Pipeline transportation","2017","5","5","64,452","5,713","1,761","56","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","40% to less than 50%","20% to less than 30%","20% to less than 30%"
"Spokane County, Washington","4869","Other pipeline transportation","2017","D","D","D","D","D","20 to 99 employees","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","D","D","D"
"Spokane County, Washington","48691","Pipeline transportation of refined petroleum products","2017","D","D","D","D","D","20 to 99 employees","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","D","D","D"
"Spokane County, Washington","486910","Pipeline transportation of refined petroleum products","2017","D","D","D","D","D","20 to 99 employees","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","D","D","D"
"Spokane County, Washington","488","Support activities for transportation","2017","61","70","60,233","17,308","4,362","582","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","20% to less than 30%","Less than 10%","Less than 10%"
"Spokane County, Washington","4881","Support activities for air transportation","2017","15","15","19,872","5,427","1,450","187","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","Less than 10%","Less than 10%","Less than 10%"
"Spokane County, Washington","48811","Airport operations","2017","6","6","11,057","3,255","838","129","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","Less than 10%","Less than 10%","10% to less than 20%"
"Spokane County, Washington","488119","Other airport operations","2017","6","6","11,057","3,255","838","129","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","Less than 10%","Less than 10%","10% to less than 20%"
"Spokane County, Washington","48819","Other support activities for air transportation","2017","9","9","8,815","2,172","612","58","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","Less than 10%","Less than 10%","Less than 10%"
"Spokane County, Washington","488190","Other support activities for air transportation","2017","9","9","8,815","2,172","612","58","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","Less than 10%","Less than 10%","Less than 10%"
"Spokane County, Washington","4882","Support activities for rail transportation","2017","D","D","D","D","D","20 to 99 employees","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","D","D","D"
"Spokane County, Washington","48821","Support activities for rail transportation","2017","D","D","D","D","D","20 to 99 employees","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","D","D","D"
"Spokane County, Washington","488210","Support activities for rail transportation","2017","D","D","D","D","D","20 to 99 employees","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","D","D","D"
"Spokane County, Washington","4884","Support activities for road transportation","2017","17","26","17,007","4,571","1,191","159","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","30% to less than 40%","Less than 10%","Less than 10%"
"Spokane County, Washington","48841","Motor vehicle towing","2017","14","23","12,786","3,646","995","119","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","10% to less than 20%","Less than 10%","Less than 10%"
"Spokane County, Washington","488410","Motor vehicle towing","2017","14","23","12,786","3,646","995","119","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","10% to less than 20%","Less than 10%","Less than 10%"
"Spokane County, Washington","48849","Other support activities for road transportation","2017","3","3","4,221","925","196","40","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","90% to 100%","Less than 10%","Less than 10%"
"Spokane County, Washington","488490","Other support activities for road transportation","2017","3","3","4,221","925","196","40","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","90% to 100%","Less than 10%","Less than 10%"
"Spokane County, Washington","4885","Freight transportation arrangement","2017","22","22","14,128","3,964","984","139","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","30% to less than 40%","Less than 10%","10% to less than 20%"
"Spokane County, Washington","48851","Freight transportation arrangement","2017","22","22","14,128","3,964","984","139","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","30% to less than 40%","Less than 10%","10% to less than 20%"
"Spokane County, Washington","488510","Freight transportation arrangement","2017","22","22","14,128","3,964","984","139","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","30% to less than 40%","Less than 10%","10% to less than 20%"
"Spokane County, Washington","492","Couriers and messengers","2017","D","D","D","D","D","1,000 to 2,499 employees","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","D","D","D"
"Spokane County, Washington","4921","Couriers and express delivery services","2017","D","D","D","D","D","1,000 to 2,499 employees","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","D","D","D"
"Spokane County, Washington","49211","Couriers and express delivery services","2017","D","D","D","D","D","1,000 to 2,499 employees","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","D","D","D"
"Spokane County, Washington","492110","Couriers and express delivery services","2017","D","D","D","D","D","1,000 to 2,499 employees","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","D","D","D"
"Spokane County, Washington","4922","Local messengers and local delivery","2017","D","D","D","D","D","20 to 99 employees","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","D","D","D"
"Spokane County, Washington","49221","Local messengers and local delivery","2017","D","D","D","D","D","20 to 99 employees","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","D","D","D"
"Spokane County, Washington","492210","Local messengers and local delivery","2017","D","D","D","D","D","20 to 99 employees","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","D","D","D"
"Spokane County, Washington","493","Warehousing and storage","2017","D","D","20,366","D","D","500 to 999 employees","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","Less than 10%","D","D"
"Spokane County, Washington","4931","Warehousing and storage","2017","D","D","20,366","D","D","500 to 999 employees","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","Less than 10%","D","D"
"Spokane County, Washington","49311","General warehousing and storage","2017","D","D","11,876","D","D","250 to 499 employees","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","Less than 10%","D","D"
"Spokane County, Washington","493110","General warehousing and storage","2017","D","D","11,876","D","D","250 to 499 employees","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","Less than 10%","D","D"
"Spokane County, Washington","49319","Other warehousing and storage","2017","D","D","D","D","D","100 to 249 employees","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","D","D","D"
"Spokane County, Washington","493190","Other warehousing and storage","2017","D","D","D","D","D","100 to 249 employees","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","D","D","D"
"Spokane County, Washington","4931902","Specialized goods warehousing and storage","2017","D","D","D","D","D","20 to 99 employees","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","D","D","D"
"Spokane County, Washington","51","Information","2017","159","242","N","291,074","71,677","4,514","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","10% to less than 20%","20% to less than 30%"
"Spokane County, Washington","511","Publishing industries (except internet)","2017","44","47","375,210","125,675","30,098","1,290","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","40% to less than 50%","Less than 10%","Less than 10%"
"Spokane County, Washington","5111","Newspaper, periodical, book, and directory publishers","2017","17","19","43,697","18,562","4,643","502","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","10% to less than 20%","Less than 10%","Less than 10%"
"Spokane County, Washington","51111","Newspaper publishers","2017","9","10","36,329","16,449","4,066","447","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","10% to less than 20%","Less than 10%","Less than 10%"
"Spokane County, Washington","511110","Newspaper publishers","2017","9","10","36,329","16,449","4,066","447","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","10% to less than 20%","Less than 10%","Less than 10%"
"Spokane County, Washington","51112","Periodical publishers","2017","4","4","4,722","1,691","464","38","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","Less than 10%","Less than 10%","Less than 10%"
