"","variable","variable.y","dataset"
"307","S0101_C06_023","estimate_percent_female_total_population_selected_age_categories_18_to_24_years","age_and_sex"
"308","S0101_C06_024","estimate_percent_female_total_population_selected_age_categories_15_to_44_years","age_and_sex"
"309","S0101_C06_025","estimate_percent_female_total_population_selected_age_categories_16_years_and_over","age_and_sex"
"310","S0101_C06_026","estimate_percent_female_total_population_selected_age_categories_18_years_and_over","age_and_sex"
"311","S0101_C06_027","estimate_percent_female_total_population_selected_age_categories_21_years_and_over","age_and_sex"
"312","S0101_C06_028","estimate_percent_female_total_population_selected_age_categories_60_years_and_over","age_and_sex"
"313","S0101_C06_029","estimate_percent_female_total_population_selected_age_categories_62_years_and_over","age_and_sex"
"314","S0101_C06_030","estimate_percent_female_total_population_selected_age_categories_65_years_and_over","age_and_sex"
"315","S0101_C06_031","estimate_percent_female_total_population_selected_age_categories_75_years_and_over","age_and_sex"
"316","S0101_C06_032","estimate_percent_female_total_population_summary_indicators_median_age_(years)","age_and_sex"
"317","S0101_C06_033","estimate_percent_female_total_population_summary_indicators_sex_ratio_(males_per_100_females)","age_and_sex"
"318","S0101_C06_034","estimate_percent_female_total_population_summary_indicators_age_dependency_ratio","age_and_sex"
"319","S0101_C06_035","estimate_percent_female_total_population_summary_indicators_old-age_dependency_ratio","age_and_sex"
"320","S0101_C06_036","estimate_percent_female_total_population_summary_indicators_child_dependency_ratio","age_and_sex"
"321","S0101_C06_037","estimate_percent_female_total_population_percent_allocated_sex","age_and_sex"
"322","S0101_C06_038","estimate_percent_female_total_population_percent_allocated_age","age_and_sex"
"323","S1901_C01_001","estimate_households_total","income_in_the_past_12_months_(in_2020_inflation-adjusted_dollars)"
"324","S1901_C01_002","estimate_households_total_less_than_$10,000","income_in_the_past_12_months_(in_2020_inflation-adjusted_dollars)"
"325","S1901_C01_003","estimate_households_total_$10,000_to_$14,999","income_in_the_past_12_months_(in_2020_inflation-adjusted_dollars)"
"326","S1901_C01_004","estimate_households_total_$15,000_to_$24,999","income_in_the_past_12_months_(in_2020_inflation-adjusted_dollars)"
"327","S1901_C01_005","estimate_households_total_$25,000_to_$34,999","income_in_the_past_12_months_(in_2020_inflation-adjusted_dollars)"
"328","S1901_C01_006","estimate_households_total_$35,000_to_$49,999","income_in_the_past_12_months_(in_2020_inflation-adjusted_dollars)"
"329","S1901_C01_007","estimate_households_total_$50,000_to_$74,999","income_in_the_past_12_months_(in_2020_inflation-adjusted_dollars)"
"330","S1901_C01_008","estimate_households_total_$75,000_to_$99,999","income_in_the_past_12_months_(in_2020_inflation-adjusted_dollars)"
"331","S1901_C01_009","estimate_households_total_$100,000_to_$149,999","income_in_the_past_12_months_(in_2020_inflation-adjusted_dollars)"
"332","S1901_C01_010","estimate_households_total_$150,000_to_$199,999","income_in_the_past_12_months_(in_2020_inflation-adjusted_dollars)"
"333","S1901_C01_011","estimate_households_total_$200,000_or_more","income_in_the_past_12_months_(in_2020_inflation-adjusted_dollars)"
"334","S1901_C01_012","estimate_households_median_income_(dollars)","income_in_the_past_12_months_(in_2020_inflation-adjusted_dollars)"
"335","S1901_C01_013","estimate_households_mean_income_(dollars)","income_in_the_past_12_months_(in_2020_inflation-adjusted_dollars)"
"336","S1901_C01_014","estimate_households_percent_allocated_household_income_in_the_past_12_months","income_in_the_past_12_months_(in_2020_inflation-adjusted_dollars)"
"337","S1901_C01_015","estimate_households_percent_allocated_family_income_in_the_past_12_months","income_in_the_past_12_months_(in_2020_inflation-adjusted_dollars)"
"338","S1901_C01_016","estimate_households_percent_allocated_nonfamily_income_in_the_past_12_months","income_in_the_past_12_months_(in_2020_inflation-adjusted_dollars)"
"339","S1901_C02_001","estimate_families_total","income_in_the_past_12_months_(in_2020_inflation-adjusted_dollars)"
"340","S1901_C02_002","estimate_families_total_less_than_$10,000","income_in_the_past_12_months_(in_2020_inflation-adjusted_dollars)"
"341","S1901_C02_003","estimate_families_total_$10,000_to_$14,999","income_in_the_past_12_months_(in_2020_inflation-adjusted_dollars)"
"342","S1901_C02_004","estimate_families_total_$15,000_to_$24,999","income_in_the_past_12_months_(in_2020_inflation-adjusted_dollars)"
"343","S1901_C02_005","estimate_families_total_$25,000_to_$34,999","income_in_the_past_12_months_(in_2020_inflation-adjusted_dollars)"
"344","S1901_C02_006","estimate_families_total_$35,000_to_$49,999","income_in_the_past_12_months_(in_2020_inflation-adjusted_dollars)"
"345","S1901_C02_007","estimate_families_total_$50,000_to_$74,999","income_in_the_past_12_months_(in_2020_inflation-adjusted_dollars)"
"346","S1901_C02_008","estimate_families_total_$75,000_to_$99,999","income_in_the_past_12_months_(in_2020_inflation-adjusted_dollars)"
"347","S1901_C02_009","estimate_families_total_$100,000_to_$149,999","income_in_the_past_12_months_(in_2020_inflation-adjusted_dollars)"
"348","S1901_C02_010","estimate_families_total_$150,000_to_$199,999","income_in_the_past_12_months_(in_2020_inflation-adjusted_dollars)"
"349","S1901_C02_011","estimate_families_total_$200,000_or_more","income_in_the_past_12_months_(in_2020_inflation-adjusted_dollars)"
"350","S1901_C02_012","estimate_families_median_income_(dollars)","income_in_the_past_12_months_(in_2020_inflation-adjusted_dollars)"
"351","S1901_C02_013","estimate_families_mean_income_(dollars)","income_in_the_past_12_months_(in_2020_inflation-adjusted_dollars)"
"352","S1901_C02_014","estimate_families_percent_allocated_household_income_in_the_past_12_months","income_in_the_past_12_months_(in_2020_inflation-adjusted_dollars)"
"353","S1901_C02_015","estimate_families_percent_allocated_family_income_in_the_past_12_months","income_in_the_past_12_months_(in_2020_inflation-adjusted_dollars)"
"354","S1901_C02_016","estimate_families_percent_allocated_nonfamily_income_in_the_past_12_months","income_in_the_past_12_months_(in_2020_inflation-adjusted_dollars)"
"355","S1901_C03_001","estimate_married-couple_families_total","income_in_the_past_12_months_(in_2020_inflation-adjusted_dollars)"
"356","S1901_C03_002","estimate_married-couple_families_total_less_than_$10,000","income_in_the_past_12_months_(in_2020_inflation-adjusted_dollars)"
"357","S1901_C03_003","estimate_married-couple_families_total_$10,000_to_$14,999","income_in_the_past_12_months_(in_2020_inflation-adjusted_dollars)"
"358","S1901_C03_004","estimate_married-couple_families_total_$15,000_to_$24,999","income_in_the_past_12_months_(in_2020_inflation-adjusted_dollars)"
"359","S1901_C03_005","estimate_married-couple_families_total_$25,000_to_$34,999","income_in_the_past_12_months_(in_2020_inflation-adjusted_dollars)"
"360","S1901_C03_006","estimate_married-couple_families_total_$35,000_to_$49,999","income_in_the_past_12_months_(in_2020_inflation-adjusted_dollars)"
"361","S1901_C03_007","estimate_married-couple_families_total_$50,000_to_$74,999","income_in_the_past_12_months_(in_2020_inflation-adjusted_dollars)"
"362","S1901_C03_008","estimate_married-couple_families_total_$75,000_to_$99,999","income_in_the_past_12_months_(in_2020_inflation-adjusted_dollars)"
"363","S1901_C03_009","estimate_married-couple_families_total_$100,000_to_$149,999","income_in_the_past_12_months_(in_2020_inflation-adjusted_dollars)"
"364","S1901_C03_010","estimate_married-couple_families_total_$150,000_to_$199,999","income_in_the_past_12_months_(in_2020_inflation-adjusted_dollars)"
"365","S1901_C03_011","estimate_married-couple_families_total_$200,000_or_more","income_in_the_past_12_months_(in_2020_inflation-adjusted_dollars)"
"366","S1901_C03_012","estimate_married-couple_families_median_income_(dollars)","income_in_the_past_12_months_(in_2020_inflation-adjusted_dollars)"
"367","S1901_C03_013","estimate_married-couple_families_mean_income_(dollars)","income_in_the_past_12_months_(in_2020_inflation-adjusted_dollars)"
"368","S1901_C03_014","estimate_married-couple_families_percent_allocated_household_income_in_the_past_12_months","income_in_the_past_12_months_(in_2020_inflation-adjusted_dollars)"
"369","S1901_C03_015","estimate_married-couple_families_percent_allocated_family_income_in_the_past_12_months","income_in_the_past_12_months_(in_2020_inflation-adjusted_dollars)"
"370","S1901_C03_016","estimate_married-couple_families_percent_allocated_nonfamily_income_in_the_past_12_months","income_in_the_past_12_months_(in_2020_inflation-adjusted_dollars)"
"371","S1901_C04_001","estimate_nonfamily_households_total","income_in_the_past_12_months_(in_2020_inflation-adjusted_dollars)"
"372","S1901_C04_002","estimate_nonfamily_households_total_less_than_$10,000","income_in_the_past_12_months_(in_2020_inflation-adjusted_dollars)"
"373","S1901_C04_003","estimate_nonfamily_households_total_$10,000_to_$14,999","income_in_the_past_12_months_(in_2020_inflation-adjusted_dollars)"
"374","S1901_C04_004","estimate_nonfamily_households_total_$15,000_to_$24,999","income_in_the_past_12_months_(in_2020_inflation-adjusted_dollars)"
"375","S1901_C04_005","estimate_nonfamily_households_total_$25,000_to_$34,999","income_in_the_past_12_months_(in_2020_inflation-adjusted_dollars)"
"376","S1901_C04_006","estimate_nonfamily_households_total_$35,000_to_$49,999","income_in_the_past_12_months_(in_2020_inflation-adjusted_dollars)"
"377","S1901_C04_007","estimate_nonfamily_households_total_$50,000_to_$74,999","income_in_the_past_12_months_(in_2020_inflation-adjusted_dollars)"
"378","S1901_C04_008","estimate_nonfamily_households_total_$75,000_to_$99,999","income_in_the_past_12_months_(in_2020_inflation-adjusted_dollars)"
"379","S1901_C04_009","estimate_nonfamily_households_total_$100,000_to_$149,999","income_in_the_past_12_months_(in_2020_inflation-adjusted_dollars)"
"380","S1901_C04_010","estimate_nonfamily_households_total_$150,000_to_$199,999","income_in_the_past_12_months_(in_2020_inflation-adjusted_dollars)"
"381","S1901_C04_011","estimate_nonfamily_households_total_$200,000_or_more","income_in_the_past_12_months_(in_2020_inflation-adjusted_dollars)"
"382","S1901_C04_012","estimate_nonfamily_households_median_income_(dollars)","income_in_the_past_12_months_(in_2020_inflation-adjusted_dollars)"
"383","S1901_C04_013","estimate_nonfamily_households_mean_income_(dollars)","income_in_the_past_12_months_(in_2020_inflation-adjusted_dollars)"
"384","S1901_C04_014","estimate_nonfamily_households_percent_allocated_household_income_in_the_past_12_months","income_in_the_past_12_months_(in_2020_inflation-adjusted_dollars)"
"385","S1901_C04_015","estimate_nonfamily_households_percent_allocated_family_income_in_the_past_12_months","income_in_the_past_12_months_(in_2020_inflation-adjusted_dollars)"
"386","S1901_C04_016","estimate_nonfamily_households_percent_allocated_nonfamily_income_in_the_past_12_months","income_in_the_past_12_months_(in_2020_inflation-adjusted_dollars)"
