"tract","county","median_income","mean_income","internet_with_subscription","dialup","broadband","satellite","other","internet_without_subscription","no_internet","total_native","total_foreign_born","not_citizen","naturalized_citizen","computer","no_computer","work_from_home","desktop_laptop","only_desktop_laptop","with_smartphone","only_smartphone","with_tablet","only_tablet","with_other","only_other","X65_older","median_age","moe_median_income","moe_mean_income","moe_internet_with_subscription","moe_dialup","moe_broadband","moe_satellite","moe_other","moe_no_subscription","moe_no_internet","moe_total_native","moe_total_foreign_born","moe_not_citizen","moe_naturalized_citizen","moe_computer","moe_no_computer","moe_work_from_home","moe_desktop_laptop","moe_only_desktop_laptop","moe_with_smartphone","moe_only_smartphone","moe_with_tablet","moe_only_tablet","moe_with_other","moe_only_other","moe_65_over","moe_median_age"
134.01,"spokane",130114,145420,1977,0,1870,102,10,14,28,5296,204,9,195,2003,16,396,1957,68,1829,29,1572,17,67,0,1009,43.4,14306,14354,246,18,249,55,16,15,26,596,93,14,92,248,18,164,248,41,254,38,209,19,35,18,130,2.9
9503,"stevens",39185,58859,938,6,772,68,0,7,96,2690,50,18,32,977,64,112,871,145,784,69,616,29,17,0,610,40.7,14089,9897,108,10,98,41,13,12,52,273,39,22,31,110,48,70,98,57,109,46,113,28,19,13,151,5.6
126,"spokane",59395,63536,1471,0,1207,99,0,70,175,3969,184,10,174,1644,72,199,1497,112,1480,100,1115,28,32,0,552,32.7,5114,5803,230,13,182,56,13,44,98,579,136,16,134,231,63,142,227,60,230,84,230,32,30,13,127,3.6
9,"whitman",53597,62761,1314,4,1008,161,19,95,178,3856,47,27,20,1443,144,155,1265,183,1176,91,876,13,54,0,874,48,5297,3726,131,6,111,34,11,46,34,310,29,23,16,132,32,43,117,60,118,44,85,11,24,13,93,3.4
105.06,"spokane",70208,91612,2187,14,1937,86,0,89,125,5019,275,114,161,2264,137,412,1993,63,2149,89,1843,0,14,0,1385,50.1,10448,12963,216,23,246,60,18,53,67,687,160,104,128,214,62,223,248,46,215,80,229,18,25,18,271,8
9601,"lincoln",55491,63047,700,0,546,28,0,21,48,1810,42,20,22,733,36,31,609,50,655,64,445,3,10,0,393,37.4,7477,7008,93,13,101,21,13,21,31,225,25,16,16,91,28,19,93,33,87,39,78,5,9,13,84,6.3
13,"spokane",46209,56596,1361,0,1262,84,10,30,130,3340,84,47,37,1420,101,96,1209,77,1319,106,935,5,43,0,388,36.6,8965,7280,192,13,194,47,15,33,66,510,48,41,27,188,62,68,147,58,198,112,171,10,42,13,98,4.1
135.01,"spokane",90020,118850,571,0,327,52,42,0,80,1645,116,38,78,633,18,83,548,17,599,47,483,17,0,0,364,45.9,9408,46515,106,13,118,51,46,13,54,283,102,35,101,109,30,60,106,30,110,55,120,26,13,13,117,4.4
9505,"stevens",43717,61514,954,0,707,120,0,40,177,2423,87,19,68,1048,123,8,727,52,935,206,631,24,0,0,832,46.8,11087,18194,182,13,174,52,13,41,84,292,55,24,53,193,67,14,134,45,196,193,99,26,13,13,244,9.9
135.03,"spokane",125453,139927,2181,0,1678,324,74,18,12,5758,320,163,157,2199,12,189,2087,26,2153,59,1714,0,9,0,904,41.1,10617,16617,306,18,327,123,89,30,21,708,193,165,106,302,21,113,300,30,303,56,287,18,15,18,262,3.8
10,"whitman",57083,72181,735,27,492,189,17,87,61,1986,28,17,11,846,37,101,791,103,713,14,526,2,12,0,441,47.4,15023,8831,95,18,67,57,11,84,22,249,24,21,13,120,18,53,123,36,117,14,87,3,9,13,95,2.3
139,"spokane",63594,74577,2075,12,1640,299,0,0,82,5167,451,138,313,2086,71,69,1779,78,1959,248,1405,0,73,0,748,38.9,20694,9616,225,20,240,127,18,18,58,470,218,139,183,225,52,60,229,65,236,184,228,18,72,18,196,4.4
9602,"lincoln",62000,79711,1222,21,587,361,31,3,111,3190,55,32,23,1283,53,238,1118,132,1054,57,762,38,19,0,784,46.3,8464,8862,136,19,100,92,23,5,42,305,36,31,18,137,26,138,121,49,131,42,123,24,19,13,121,5.7
140.02,"spokane",53773,63178,2372,0,2135,101,44,62,160,5621,675,476,199,2469,125,322,2331,30,2381,32,1946,0,37,0,569,24.9,20592,7516,296,18,314,64,46,57,97,598,349,317,116,281,91,250,295,34,291,39,298,18,36,18,179,1.2
14,"spokane",40786,50693,2226,11,1952,30,0,12,177,5301,901,527,374,2321,94,87,2105,67,2199,62,1434,14,13,0,529,31.4,2212,5404,236,18,230,35,18,19,93,786,452,430,226,244,74,75,255,50,253,56,242,22,21,18,135,2.7
144,"spokane",56613,66854,1560,0,1350,78,9,46,123,4212,258,96,162,1632,97,136,1304,47,1543,225,985,0,41,0,543,36.5,7263,7177,194,13,202,46,15,53,54,480,149,105,103,194,48,137,194,29,195,115,172,13,31,13,136,3.2
9410,"stevens",35000,47680,533,4,316,152,7,30,295,2189,14,9,5,731,127,18,476,39,651,159,420,15,11,0,370,35.8,6227,4576,79,8,65,44,8,19,64,275,17,9,8,90,43,10,72,18,85,39,76,15,11,13,70,3.9
135.02,"spokane",106736,162714,857,0,645,134,30,0,36,2181,112,0,112,875,18,204,857,51,759,0,729,0,55,0,454,54.4,53418,36375,170,13,171,98,48,13,43,437,135,13,135,164,30,173,162,51,162,13,165,13,51,13,180,4.2
9506,"stevens",63750,73304,842,11,472,286,0,0,161,2342,98,75,23,890,113,43,768,78,728,66,588,46,24,0,587,47.9,10706,8368,108,11,95,71,13,13,60,311,90,67,28,115,50,29,107,42,108,43,94,33,26,13,142,5.9
136,"spokane",78534,86631,1826,0,1468,83,134,17,119,4937,221,93,128,1897,65,177,1676,53,1769,95,1480,11,36,0,639,33.4,12087,13216,219,18,226,53,89,19,72,641,102,91,75,221,54,124,179,46,228,108,203,18,35,18,112,2.5
140.01,"spokane",30268,53097,1491,0,1191,69,58,67,175,5162,164,107,57,1658,75,108,1500,92,1423,82,911,18,15,0,432,21.8,17403,12405,234,18,200,43,56,58,74,594,74,58,37,234,56,67,219,48,200,57,194,20,17,18,218,0.6
9603,"lincoln",67500,79366,895,12,514,196,42,26,213,2586,42,22,20,1064,70,129,895,113,920,96,696,4,30,0,728,48.9,7966,6916,97,9,81,40,22,28,68,231,26,17,16,109,30,55,95,36,109,38,100,4,29,13,103,2.7
141,"spokane",78068,92375,2105,0,1585,198,80,57,215,5679,522,104,418,2182,195,415,2060,71,2015,98,1752,12,0,0,1030,39.8,14073,11706,276,18,297,114,62,70,101,730,400,95,383,271,100,212,271,41,274,78,275,19,18,18,197,4.4
15,"spokane",49783,54369,1928,0,1761,124,22,0,467,5711,66,37,29,2096,299,128,1666,134,1960,261,1225,0,17,0,777,36.6,7557,6003,199,18,208,96,27,18,312,723,56,46,38,298,222,79,225,90,316,241,204,18,27,18,309,4.8
145,"spokane",34722,51895,687,4,466,21,25,49,132,1907,94,49,45,774,94,38,558,52,685,154,389,0,12,0,216,41.4,20652,10508,138,7,132,26,29,36,85,404,60,51,33,140,68,31,111,35,141,55,116,13,15,13,85,4.6
9501.01,"stevens",42037,55067,1390,20,722,411,16,83,403,4446,150,63,87,1591,285,43,1228,205,1292,215,901,14,25,0,1180,46.6,8070,6158,165,20,136,105,17,44,85,454,87,64,58,161,80,22,149,73,154,98,151,16,21,13,163,4.2
9507,"stevens",43370,53094,826,3,571,102,21,37,159,2333,91,43,48,881,141,87,647,132,687,161,448,29,10,0,588,48.4,6630,6723,92,5,89,45,17,28,69,117,65,56,45,90,57,44,97,74,86,77,75,29,11,13,125,7.8
137,"spokane",59778,90406,1219,44,760,194,42,24,134,2908,220,151,69,1320,57,105,992,69,1192,208,822,13,39,0,418,37.7,9260,15273,152,33,123,60,25,21,61,357,103,82,52,151,38,73,120,35,161,94,122,16,29,13,66,4.9
9509,"stevens",44076,64276,513,9,265,132,6,23,169,1482,31,16,15,608,97,66,512,117,455,53,328,11,11,0,507,57.1,7934,11050,53,7,42,30,6,14,65,156,21,15,11,67,33,33,60,37,70,37,48,9,8,13,88,4.9
9604,"lincoln",53314,70124,1146,10,755,216,15,8,235,2961,46,11,35,1256,133,211,1077,158,1041,103,729,10,15,0,851,55,6931,10633,128,8,118,77,15,6,48,223,29,15,25,135,42,55,121,54,124,40,94,11,14,13,115,1.9
142,"spokane",71012,86854,1251,14,631,420,38,58,195,3461,86,25,61,1426,78,298,1252,54,1251,79,863,13,48,40,597,44.4,10987,14610,271,17,130,243,34,46,102,521,53,29,47,278,46,202,276,32,283,47,262,14,57,54,174,6
16,"spokane",36096,49085,1105,0,849,31,9,18,231,2779,565,373,192,1175,179,49,762,37,1120,239,651,7,9,0,358,31.8,5878,6697,153,13,164,31,13,18,72,369,390,369,101,151,66,44,145,27,149,96,112,12,15,13,66,3.2
19,"spokane",49425,61491,1321,5,1157,35,36,24,132,3615,37,0,37,1379,98,152,1131,92,1235,123,957,0,36,0,398,33.5,8511,8230,133,8,146,26,47,18,66,530,34,13,34,131,56,101,156,48,143,76,133,13,28,13,79,4
9501.02,"stevens",59669,74905,1080,0,415,358,111,11,219,2832,141,8,133,1190,120,44,974,139,984,39,779,14,66,0,866,51.3,18461,17049,200,13,130,98,131,18,81,465,129,13,129,200,62,36,198,57,198,37,199,24,42,13,197,14.6
9508,"stevens",66583,84766,1097,8,636,272,32,46,236,3264,52,17,35,1234,145,129,1141,105,1047,50,706,16,45,0,968,59.1,13039,11651,144,12,134,95,30,46,95,378,28,13,24,162,70,92,171,56,164,42,156,19,25,13,210,2.8
138,"spokane",60133,63756,740,0,728,22,0,82,4,3253,211,101,110,813,13,89,804,5,808,4,625,0,0,0,0,23.2,5235,6988,117,13,114,18,13,108,7,437,148,104,72,153,20,96,153,8,153,7,113,13,13,13,13,1
9511,"stevens",51302,57637,1144,10,572,310,30,52,311,3566,32,5,27,1423,84,200,1199,212,1071,134,819,54,36,0,931,53.1,9986,5117,167,9,112,131,27,40,78,561,25,9,23,186,37,111,190,71,172,52,171,48,25,13,280,7.2
143,"spokane",58813,78699,972,23,552,166,74,16,146,2865,74,55,19,1037,97,92,923,76,932,59,684,4,7,0,427,44.5,4708,8198,106,16,74,59,37,14,43,422,51,46,20,105,35,59,103,29,103,28,107,4,6,13,86,4.1
18,"spokane",41358,52954,1018,5,858,53,8,106,251,2636,267,171,96,1087,288,123,948,107,893,40,604,43,23,0,618,42.1,7918,7451,166,8,179,38,13,49,125,424,176,125,119,164,127,108,169,62,164,28,147,51,30,13,135,6.5
20,"spokane",33374,43624,1515,18,1272,55,18,92,100,3923,149,89,60,1600,107,73,1203,79,1433,278,844,15,28,0,423,34.8,2238,5947,193,19,195,44,29,73,59,479,85,75,31,184,62,48,183,56,194,152,171,17,30,13,102,1.4
23,"spokane",48367,64215,1852,0,1485,122,6,60,270,4725,99,33,66,1913,269,161,1551,102,1758,191,1355,23,40,0,869,43.8,13220,10096,255,13,244,107,14,69,213,783,74,52,52,258,212,97,252,55,250,154,254,38,48,13,264,6.3
9513.01,"stevens",63188,86023,778,0,375,236,22,23,159,2822,67,27,40,817,143,50,680,5,793,125,453,3,11,0,468,38.3,10547,16936,130,13,90,98,17,32,75,594,51,30,45,128,75,34,113,7,127,80,108,5,13,13,100,5.6
21,"spokane",63531,78406,1061,29,938,28,6,20,44,2521,85,48,37,1081,44,105,919,49,1015,82,698,0,27,0,281,32.6,11751,20425,160,29,170,32,9,25,30,378,65,53,31,158,35,64,166,36,166,61,165,13,38,13,80,2.6
24,"spokane",26975,43027,915,0,706,11,0,30,207,2891,86,47,39,984,168,163,697,56,874,154,587,28,0,0,409,34.9,12016,11139,139,13,137,20,13,33,84,409,72,65,29,145,81,143,160,46,155,71,136,44,13,13,150,2.9
9703,"garfield",56923,64502,801,0,513,269,14,15,170,2171,87,83,4,897,89,116,776,71,774,77,549,3,15,0,596,49.7,9209,5897,87,13,76,72,21,14,57,46,46,43,6,82,40,61,84,34,87,47,85,4,12,13,98,6.4
9513.02,"stevens",63068,82312,482,0,190,151,35,37,100,1415,5,0,5,539,80,35,482,26,470,33,381,3,22,0,346,48.7,15623,13740,90,13,58,64,21,34,49,289,9,13,9,90,33,31,84,20,97,22,96,4,26,13,75,6.6
25.01,"spokane",44527,48204,1049,0,861,15,0,0,62,3209,59,45,14,1096,15,105,895,95,972,83,633,15,15,0,294,22.6,10308,8811,199,13,216,24,13,13,45,801,44,36,24,195,23,82,158,70,183,89,174,25,23,13,122,2
25.03,"spokane",NA,134319,168,0,126,17,42,0,29,3051,154,51,103,186,11,84,186,0,186,0,99,0,17,0,0,19.7,NA,108174,73,13,72,28,64,13,35,414,72,32,71,75,18,59,75,13,75,13,71,13,28,13,13,0.2
29,"spokane",63977,78961,1167,0,954,48,9,16,44,2915,331,132,199,1177,50,100,1022,188,969,71,758,0,31,0,403,34.9,14793,11245,222,13,235,34,19,17,27,499,167,122,95,220,25,48,224,198,108,57,103,13,32,13,96,4
31,"spokane",52803,63335,2042,14,1760,96,101,47,95,4538,466,277,189,2066,118,100,1781,84,1885,173,1234,24,29,0,535,34.6,9136,7192,300,23,286,82,106,57,75,590,249,182,113,294,82,77,266,67,308,157,187,38,32,18,120,4.6
9514.01,"stevens",50474,65902,1015,50,573,311,0,47,342,3753,79,1,78,1156,248,2,1012,40,1103,105,729,0,53,0,834,49.9,12396,11513,187,59,166,136,13,51,136,578,77,2,77,187,119,4,181,45,200,95,171,13,54,13,271,6.3
35,"spokane",14280,35942,1332,14,1002,54,25,100,406,2569,102,76,26,1462,376,19,1099,155,1197,207,702,45,16,0,488,50.7,3980,6026,198,17,193,40,25,47,109,264,62,53,25,184,118,24,173,83,171,102,142,36,25,13,99,3.9
25.02,"spokane",49167,43259,727,0,597,22,0,155,132,2441,151,70,81,828,186,16,674,72,728,65,483,12,50,0,288,28.7,22717,8405,104,13,150,29,13,156,69,660,101,77,67,198,86,37,232,54,198,55,106,19,58,13,100,1.7
26,"spokane",37711,47679,1960,0,1682,161,44,0,123,4215,642,479,163,2024,59,43,1418,160,1838,311,954,26,0,0,336,34.6,5970,7880,281,13,279,111,69,13,107,672,377,337,137,268,73,48,296,94,276,167,242,31,13,13,183,4.8
30,"spokane",43219,51874,778,11,679,48,0,51,137,2235,322,164,158,853,113,72,738,38,759,23,599,10,9,0,329,30.5,4977,6336,102,15,109,30,13,49,49,270,109,103,79,104,42,59,109,27,108,22,99,10,10,13,79,1.9
32,"spokane",43668,53914,1349,27,1162,93,14,145,80,2605,260,60,200,1416,158,142,1219,66,1231,149,928,30,52,0,732,43.2,2163,6738,239,23,219,88,22,135,48,418,143,53,133,241,127,132,209,48,214,139,202,30,66,13,208,12.1
9514.02,"stevens",96164,100803,1430,0,1264,143,0,59,51,4092,334,104,230,1524,16,110,1320,137,1340,173,1023,16,37,0,785,45.5,10100,11455,134,13,139,73,13,67,47,481,160,102,123,122,25,80,159,72,146,116,156,25,46,13,203,3.9
36.01,"spokane",28578,63987,1093,0,875,35,23,40,85,2214,53,34,19,1138,80,9,930,19,1119,123,555,0,9,0,185,27,10507,20222,290,13,295,38,36,33,67,448,51,44,24,289,66,14,273,22,290,83,145,13,13,13,85,4.3
36.02,"spokane",27073,57890,1491,0,1238,28,0,53,155,2215,122,104,18,1533,166,128,1283,63,1416,174,736,54,78,0,315,32.6,15119,25902,285,13,284,35,13,61,113,384,117,111,30,290,116,132,257,59,289,140,212,61,90,13,148,5.4
38,"spokane",51159,68840,806,0,685,16,0,24,64,1608,137,40,97,854,40,38,754,26,816,49,590,6,15,0,324,36,9858,10101,102,13,101,14,13,28,32,197,59,32,44,97,23,22,102,21,97,33,92,9,13,13,56,5.2
39,"spokane",48250,95414,841,12,677,133,30,53,129,2020,133,52,81,951,72,81,857,128,741,55,652,24,49,0,693,53.3,11967,23438,141,15,132,98,40,40,58,311,98,36,73,142,46,59,149,53,133,50,147,38,50,13,118,4.2
40.01,"spokane",52575,57868,1289,0,1000,56,74,0,37,2358,436,349,87,1312,14,200,1071,0,1277,140,967,16,38,0,304,29.8,14626,10787,285,13,285,46,88,13,37,668,257,256,79,288,22,105,280,13,290,87,278,25,36,13,96,7.1
45,"spokane",91250,141676,1423,0,1322,29,7,35,44,3491,114,21,93,1486,16,202,1333,94,1372,55,1129,0,36,0,745,44.6,19723,23168,151,13,155,23,10,29,32,462,62,24,62,151,18,89,153,46,156,42,183,13,31,13,123,3.1
43,"spokane",89917,129387,1385,10,1287,38,0,39,92,3214,227,59,168,1423,93,147,1354,150,1234,22,1061,23,46,0,968,48,13459,20123,167,16,163,27,13,33,55,313,91,58,82,164,56,82,170,102,117,21,148,25,32,13,168,4.6
46.02,"spokane",85643,97470,1091,11,907,72,43,9,130,2898,247,79,168,1156,74,264,1061,72,1074,56,877,10,6,0,382,35.6,12727,20391,214,17,218,47,44,15,66,373,150,90,123,213,65,252,216,43,214,39,212,16,10,13,81,1
41,"spokane",65217,95531,965,0,824,19,0,0,107,2134,87,38,49,1030,42,158,871,58,876,86,723,47,20,0,598,44.8,22256,22306,129,13,126,22,13,13,71,264,78,35,57,124,47,92,133,44,124,55,130,56,18,13,119,6
44,"spokane",57904,82534,1846,0,1606,27,62,56,227,4649,141,30,111,2038,91,137,1803,87,1849,44,1605,14,19,0,1015,39.4,15847,13466,228,13,265,31,55,47,192,723,96,38,85,294,52,95,215,48,288,55,293,23,30,13,254,3.7
48,"spokane",51467,76843,1695,12,1428,98,59,196,166,3815,268,101,167,1981,76,190,1641,48,1894,304,1272,8,27,0,1030,44.3,13998,9389,220,19,203,55,49,189,71,401,134,70,123,285,37,83,193,35,288,233,137,14,24,13,267,7.1
46.01,"spokane",42979,59508,1629,7,1448,67,98,94,401,3657,219,63,156,1744,380,83,1411,130,1466,174,1169,91,37,0,1349,52.6,5175,6340,230,10,219,42,117,49,176,374,116,61,92,227,170,62,210,64,199,84,192,101,31,13,271,6.1
40.02,"spokane",38045,56067,1250,0,1119,0,32,7,19,2216,85,27,58,1257,19,64,1121,38,1196,90,764,13,5,0,185,31.3,8763,21925,193,13,220,13,53,15,23,345,86,42,78,190,23,66,212,48,196,94,155,22,9,13,131,4.5
42,"spokane",96071,127232,1820,0,1582,52,24,0,116,4507,219,65,154,1865,71,323,1764,92,1730,41,1492,0,68,0,888,43.2,15239,13170,215,13,195,61,36,13,55,494,93,42,82,214,48,131,211,47,216,29,222,13,43,13,277,3.6
47.01,"spokane",79318,79421,1036,0,829,87,71,41,59,3171,204,52,152,1077,59,210,890,29,1011,31,954,0,0,0,305,32,30766,11741,209,13,202,70,97,54,64,864,161,63,132,199,64,122,190,32,196,40,212,13,13,13,117,2.9
47.02,"spokane",66685,76839,1550,0,1282,51,83,14,133,3449,296,187,109,1566,131,153,1451,72,1423,14,1184,14,57,0,871,40.9,19860,8546,183,13,194,46,79,21,97,323,217,200,84,185,91,105,179,44,201,23,218,22,67,13,153,8.3
